c_norm,c_norm_lag1,c_norm_lag2,c_norm_lag3,c_norm_lag4,c_norm_lag5,US_ex
0.2598342647,0.2885965838,0.2353506806,0.2153925256,0.2424908969,0.3903636465,1.3548217556
0.2432597093,0.2598342647,0.2885965838,0.2353506806,0.2153925256,0.2424908969,1.3549350234
0.4257543898,0.2432597093,0.2598342647,0.2885965838,0.2353506806,0.2153925256,1.3549962679
0.2954248323,0.4257543898,0.2432597093,0.2598342647,0.2885965838,0.2353506806,1.355040035
0.2938833839,0.2954248323,0.4257543898,0.2432597093,0.2598342647,0.2885965838,1.3551278444
0.2656705663,0.2938833839,0.2954248323,0.4257543898,0.2432597093,0.2598342647,1.3551697185
0.2334142128,0.2656705663,0.2938833839,0.2954248323,0.4257543898,0.2432597093,1.3551458677
0.2284337396,0.2334142128,0.2656705663,0.2938833839,0.2954248323,0.4257543898,1.3550859716
0.3411600707,0.2284337396,0.2334142128,0.2656705663,0.2938833839,0.2954248323,1.3549976229
0.2427262318,0.3411600707,0.2284337396,0.2334142128,0.2656705663,0.2938833839,1.3548869241
0.2318348284,0.2427262318,0.3411600707,0.2284337396,0.2334142128,0.2656705663,1.3547051105
0.2982429239,0.2318348284,0.2427262318,0.3411600707,0.2284337396,0.2334142128,1.3544746947
0.2957668117,0.2982429239,0.2318348284,0.2427262318,0.3411600707,0.2284337396,1.3542250881
0.2954924152,0.2957668117,0.2982429239,0.2318348284,0.2427262318,0.3411600707,1.3539091842
0.335463321,0.2954924152,0.2957668117,0.2982429239,0.2318348284,0.2427262318,1.3535661471
0.256523904,0.335463321,0.2954924152,0.2957668117,0.2982429239,0.2318348284,1.3532043872
0.2860913628,0.256523904,0.335463321,0.2954924152,0.2957668117,0.2982429239,1.3528310896
0.3072269323,0.2860913628,0.256523904,0.335463321,0.2954924152,0.2957668117,1.3524523499
0.3735068803,0.3072269323,0.2860913628,0.256523904,0.335463321,0.2954924152,1.3521041383
0.3758810929,0.3735068803,0.3072269323,0.2860913628,0.256523904,0.335463321,1.3517196545
0.3670991897,0.3758810929,0.3735068803,0.3072269323,0.2860913628,0.256523904,1.3513440638
0.33547396,0.3670991897,0.3758810929,0.3735068803,0.3072269323,0.2860913628,1.3509661457
0.4548922234,0.33547396,0.3670991897,0.3758810929,0.3735068803,0.3072269323,1.3505903592
0.4879281949,0.4548922234,0.33547396,0.3670991897,0.3758810929,0.3735068803,1.3502199431
0.2652805339,0.4879281949,0.4548922234,0.33547396,0.3670991897,0.3758810929,1.3499059185
0.2827108254,0.2652805339,0.4879281949,0.4548922234,0.33547396,0.3670991897,1.3496783435
0.3614716281,0.2827108254,0.2652805339,0.4879281949,0.4548922234,0.33547396,1.3494894018
0.4927944113,0.3614716281,0.2827108254,0.2652805339,0.4879281949,0.4548922234,1.3492973831
0.4338517909,0.4927944113,0.3614716281,0.2827108254,0.2652805339,0.4879281949,1.3490071804
0.7118184465,0.4338517909,0.4927944113,0.3614716281,0.2827108254,0.2652805339,1.3486405701
1,0.7118184465,0.4338517909,0.4927944113,0.3614716281,0.2827108254,1.3482156804
0.4642087869,1,0.7118184465,0.4338517909,0.4927944113,0.3614716281,1.3477479307
0.3467919458,0.4642087869,1,0.7118184465,0.4338517909,0.4927944113,1.3472159449
0.3154062355,0.3467919458,0.4642087869,1,0.7118184465,0.4338517909,1.3466068715
0.3112252047,0.3154062355,0.3467919458,0.4642087869,1,0.7118184465,1.3459576942
0.2660401973,0.3112252047,0.3154062355,0.3467919458,0.4642087869,1,1.3453373507
0.228533935,0.2660401973,0.3112252047,0.3154062355,0.3467919458,0.4642087869,1.3447464738
0.2810945747,0.228533935,0.2660401973,0.3112252047,0.3154062355,0.3467919458,1.3441852938
0.2947186814,0.2810945747,0.228533935,0.2660401973,0.3112252047,0.3154062355,1.3436900528
0.3602845477,0.2947186814,0.2810945747,0.228533935,0.2660401973,0.3112252047,1.343268066
0.3575737326,0.3602845477,0.2947186814,0.2810945747,0.228533935,0.2660401973,1.3429198017
0.3093295067,0.3575737326,0.3602845477,0.2947186814,0.2810945747,0.228533935,1.3426074749
0.2130042466,0.3093295067,0.3575737326,0.3602845477,0.2947186814,0.2810945747,1.3423664985
0.2521391032,0.2130042466,0.3093295067,0.3575737326,0.3602845477,0.2947186814,1.3421855597
0.2969533133,0.2521391032,0.2130042466,0.3093295067,0.3575737326,0.3602845477,1.3420552398
0.4676113594,0.2969533133,0.2521391032,0.2130042466,0.3093295067,0.3575737326,1.3419790132
0.3763984638,0.4676113594,0.2969533133,0.2521391032,0.2130042466,0.3093295067,1.3419654593
0.3809446922,0.3763984638,0.4676113594,0.2969533133,0.2521391032,0.2130042466,1.3419678749
0.2174896936,0.3809446922,0.3763984638,0.4676113594,0.2969533133,0.2521391032,1.3420160524
0.3819018865,0.2174896936,0.3809446922,0.3763984638,0.4676113594,0.2969533133,1.3421544214
0.3570778104,0.3819018865,0.2174896936,0.3809446922,0.3763984638,0.4676113594,1.3423647534
0.305782709,0.3570778104,0.3819018865,0.2174896936,0.3809446922,0.3763984638,1.342631105
0.2580349533,0.305782709,0.3570778104,0.3819018865,0.2174896936,0.3809446922,1.3430461764
0.508268586,0.2580349533,0.305782709,0.3570778104,0.3819018865,0.2174896936,1.3435659015
0.3860644744,0.508268586,0.2580349533,0.305782709,0.3570778104,0.3819018865,1.3441651312
0.3876511424,0.3860644744,0.508268586,0.2580349533,0.305782709,0.3570778104,1.3448002648
0.3084246119,0.3876511424,0.3860644744,0.508268586,0.2580349533,0.305782709,1.3454919389
0.2954767671,0.3084246119,0.3876511424,0.3860644744,0.508268586,0.2580349533,1.3462224702
0.2603759455,0.2954767671,0.3084246119,0.3876511424,0.3860644744,0.508268586,1.3469773741
0.3017689345,0.2603759455,0.2954767671,0.3084246119,0.3876511424,0.3860644744,1.3477415963
0.2903722088,0.3017689345,0.2603759455,0.2954767671,0.3084246119,0.3876511424,1.3485956611
0.4696639809,0.2903722088,0.3017689345,0.2603759455,0.2954767671,0.3084246119,1.3495563381
0.3597282384,0.4696639809,0.2903722088,0.3017689345,0.2603759455,0.2954767671,1.3506126442
0.2877240058,0.3597282384,0.4696639809,0.2903722088,0.3017689345,0.2603759455,1.3517481761
0.3301772276,0.2877240058,0.3597282384,0.4696639809,0.2903722088,0.3017689345,1.3529366145
0.2528268497,0.3301772276,0.2877240058,0.3597282384,0.4696639809,0.2903722088,1.3541564306
0.2585180262,0.2528268497,0.3301772276,0.2877240058,0.3597282384,0.4696639809,1.3553868341
0.1992053165,0.2585180262,0.2528268497,0.3301772276,0.2877240058,0.3597282384,1.3566106229
0.2507790672,0.1992053165,0.2585180262,0.2528268497,0.3301772276,0.2877240058,1.3578425774
0.4310342409,0.2507790672,0.1992053165,0.2585180262,0.2528268497,0.3301772276,1.3590722529
0.3581266853,0.4310342409,0.2507790672,0.1992053165,0.2585180262,0.2528268497,1.3603073951
0.3997301959,0.3581266853,0.4310342409,0.2507790672,0.1992053165,0.2585180262,1.3615349459
0.2960331672,0.3997301959,0.3581266853,0.4310342409,0.2507790672,0.1992053165,1.3627441171
0.2859512641,0.2960331672,0.3997301959,0.3581266853,0.4310342409,0.2507790672,1.3639127621
0.3462904844,0.2859512641,0.2960331672,0.3997301959,0.3581266853,0.4310342409,1.3650439146
0.2051624924,0.3462904844,0.2859512641,0.2960331672,0.3997301959,0.3581266853,1.3660213628
0.3843592825,0.2051624924,0.3462904844,0.2859512641,0.2960331672,0.3997301959,1.3668831843
0.2518084603,0.3843592825,0.2051624924,0.3462904844,0.2859512641,0.2960331672,1.3675596854
0.1884771847,0.2518084603,0.3843592825,0.2051624924,0.3462904844,0.2859512641,1.3680794568
0.2020572877,0.1884771847,0.2518084603,0.3843592825,0.2051624924,0.3462904844,1.3684666781
0.2166331008,0.2020572877,0.1884771847,0.2518084603,0.3843592825,0.2051624924,1.3687768078
0.2046118274,0.2166331008,0.2020572877,0.1884771847,0.2518084603,0.3843592825,1.3690511382
0.2624138995,0.2046118274,0.2166331008,0.2020572877,0.1884771847,0.2518084603,1.3692650007
0.2279330185,0.2624138995,0.2046118274,0.2166331008,0.2020572877,0.1884771847,1.3694384975
0.3674115953,0.2279330185,0.2624138995,0.2046118274,0.2166331008,0.2020572877,1.3696694043
0.2741351242,0.3674115953,0.2279330185,0.2624138995,0.2046118274,0.2166331008,1.3699445985
0.2352498,0.2741351242,0.3674115953,0.2279330185,0.2624138995,0.2046118274,1.3702527337
0.2237043386,0.2352498,0.2741351242,0.3674115953,0.2279330185,0.2624138995,1.3705887609
0.1772334771,0.2237043386,0.2352498,0.2741351242,0.3674115953,0.2279330185,1.3709018391
0.3115293568,0.1772334771,0.2237043386,0.2352498,0.2741351242,0.3674115953,1.3712543433
0.2102809977,0.3115293568,0.1772334771,0.2237043386,0.2352498,0.2741351242,1.3715282101
0.2638395039,0.2102809977,0.3115293568,0.1772334771,0.2237043386,0.2352498,1.3717209234
0.2571873432,0.2638395039,0.2102809977,0.3115293568,0.1772334771,0.2237043386,1.3718456185
0.2969460768,0.2571873432,0.2638395039,0.2102809977,0.3115293568,0.1772334771,1.3719142125
0.2128698717,0.2969460768,0.2571873432,0.2638395039,0.2102809977,0.3115293568,1.3718742904
0.2119935811,0.2128698717,0.2969460768,0.2571873432,0.2638395039,0.2102809977,1.3717036398
0.2175947404,0.2119935811,0.2128698717,0.2969460768,0.2571873432,0.2638395039,1.371325239
0.3224596755,0.2175947404,0.2119935811,0.2128698717,0.2969460768,0.2571873432,1.3707040323
0.2955359827,0.3224596755,0.2175947404,0.2119935811,0.2128698717,0.2969460768,1.3699844645
0.3165960899,0.2955359827,0.3224596755,0.2175947404,0.2119935811,0.2128698717,1.3691925685
0.3092614897,0.3165960899,0.2955359827,0.3224596755,0.2175947404,0.2119935811,1.3683502266
0.1728363227,0.3092614897,0.3165960899,0.2955359827,0.3224596755,0.2175947404,1.3674512422
0.1978586905,0.1728363227,0.3092614897,0.3165960899,0.2955359827,0.3224596755,1.3665305739
0.1656829186,0.1978586905,0.1728363227,0.3092614897,0.3165960899,0.2955359827,1.3656546353
0.2532814934,0.1656829186,0.1978586905,0.1728363227,0.3092614897,0.3165960899,1.3648485908
0.2528328086,0.2532814934,0.1656829186,0.1978586905,0.1728363227,0.3092614897,1.3641925293
0.2687854371,0.2528328086,0.2532814934,0.1656829186,0.1978586905,0.1728363227,1.3636644162
0.2067787123,0.2687854371,0.2528328086,0.2532814934,0.1656829186,0.1978586905,1.3632452902
0.2570010008,0.2067787123,0.2687854371,0.2528328086,0.2532814934,0.1656829186,1.3629182869
0.2269607598,0.2570010008,0.2067787123,0.2687854371,0.2528328086,0.2532814934,1.3626503635
0.1277865125,0.2269607598,0.2570010008,0.2067787123,0.2687854371,0.2528328086,1.3624816778
0.2479857163,0.1277865125,0.2269607598,0.2570010008,0.2067787123,0.2687854371,1.3623683241
0.3453639389,0.2479857163,0.1277865125,0.2269607598,0.2570010008,0.2067787123,1.3622938046
0.3633595094,0.3453639389,0.2479857163,0.1277865125,0.2269607598,0.2570010008,1.3622515741
0.5198749758,0.3633595094,0.3453639389,0.2479857163,0.1277865125,0.2269607598,1.3622356359
0.4676594979,0.5198749758,0.3633595094,0.3453639389,0.2479857163,0.1277865125,1.3622414935
0.1709659722,0.4676594979,0.5198749758,0.3633595094,0.3453639389,0.2479857163,1.3622297783
0.2442647271,0.1709659722,0.4676594979,0.5198749758,0.3633595094,0.3453639389,1.3622669676
0.3221806711,0.2442647271,0.1709659722,0.4676594979,0.5198749758,0.3633595094,1.3623711851
0.2764016819,0.3221806711,0.2442647271,0.1709659722,0.4676594979,0.5198749758,1.3626030804
0.5085731019,0.2764016819,0.3221806711,0.2442647271,0.1709659722,0.4676594979,1.3629362775
0.5077547772,0.5085731019,0.2764016819,0.3221806711,0.2442647271,0.1709659722,1.3633480828
0.4547038988,0.5077547772,0.5085731019,0.2764016819,0.3221806711,0.2442647271,1.363841295
0.3660177861,0.4547038988,0.5077547772,0.5085731019,0.2764016819,0.3221806711,1.3644382425
0.2759135786,0.3660177861,0.4547038988,0.5077547772,0.5085731019,0.2764016819,1.3651791972
0.2183000411,0.2759135786,0.3660177861,0.4547038988,0.5077547772,0.5085731019,1.3660111177
0.3222506158,0.2183000411,0.2759135786,0.3660177861,0.4547038988,0.5077547772,1.3668719759
0.4249090747,0.3222506158,0.2183000411,0.2759135786,0.3660177861,0.4547038988,1.3677478746
0.3699920389,0.4249090747,0.3222506158,0.2183000411,0.2759135786,0.3660177861,1.3686273455
0.1943209466,0.3699920389,0.4249090747,0.3222506158,0.2183000411,0.2759135786,1.369512997
0.2379167804,0.1943209466,0.3699920389,0.4249090747,0.3222506158,0.2183000411,1.3704034698
0.2748725786,0.2379167804,0.1943209466,0.3699920389,0.4249090747,0.3222506158,1.3713692592
0.3024004654,0.2748725786,0.2379167804,0.1943209466,0.3699920389,0.4249090747,1.3725253992
0.2951142688,0.3024004654,0.2748725786,0.2379167804,0.1943209466,0.3699920389,1.3738091732
0.2952687682,0.2951142688,0.3024004654,0.2748725786,0.2379167804,0.1943209466,1.3751842196
0.2115886143,0.2952687682,0.2951142688,0.3024004654,0.2748725786,0.2379167804,1.3766195603
0.401380242,0.2115886143,0.2952687682,0.2951142688,0.3024004654,0.2748725786,1.3780996708
0.5065292978,0.401380242,0.2115886143,0.2952687682,0.2951142688,0.3024004654,1.3796429034
0.3102897649,0.5065292978,0.401380242,0.2115886143,0.2952687682,0.2951142688,1.3812201843
0.3593707111,0.3102897649,0.5065292978,0.401380242,0.2115886143,0.2952687682,1.3828213934
0.4019402029,0.3593707111,0.3102897649,0.5065292978,0.401380242,0.2115886143,1.3845055884
0.5115703752,0.4019402029,0.3593707111,0.3102897649,0.5065292978,0.401380242,1.3862406294
0.1950653966,0.5115703752,0.4019402029,0.3593707111,0.3102897649,0.5065292978,1.3880001914
0.1758254702,0.1950653966,0.5115703752,0.4019402029,0.3593707111,0.3102897649,1.3897721322
0.2284889338,0.1758254702,0.1950653966,0.5115703752,0.4019402029,0.3593707111,1.3914720284
0.2673263802,0.2284889338,0.1758254702,0.1950653966,0.5115703752,0.4019402029,1.3930693804
0.2563174467,0.2673263802,0.2284889338,0.1758254702,0.1950653966,0.5115703752,1.3945606229
0.2906368631,0.2563174467,0.2673263802,0.2284889338,0.1758254702,0.1950653966,1.3959768205
0.3515000553,0.2906368631,0.2563174467,0.2673263802,0.2284889338,0.1758254702,1.3973178812
0.2483212505,0.3515000553,0.2906368631,0.2563174467,0.2673263802,0.2284889338,1.3985851242
0.3038749846,0.2483212505,0.3515000553,0.2906368631,0.2563174467,0.2673263802,1.3997796061
0.3390173436,0.3038749846,0.2483212505,0.3515000553,0.2906368631,0.2563174467,1.4008418818
0.2659258126,0.3390173436,0.3038749846,0.2483212505,0.3515000553,0.2906368631,1.4018507109
0.2350761024,0.2659258126,0.3390173436,0.3038749846,0.2483212505,0.3515000553,1.4028765399
0.220481686,0.2350761024,0.2659258126,0.3390173436,0.3038749846,0.2483212505,1.4038466837
0.1742486361,0.220481686,0.2350761024,0.2659258126,0.3390173436,0.3038749846,1.4047620092
0.154904274,0.1742486361,0.220481686,0.2350761024,0.2659258126,0.3390173436,1.4056236735
0.218434641,0.154904274,0.1742486361,0.220481686,0.2350761024,0.2659258126,1.4064810842
0.2416367436,0.218434641,0.154904274,0.1742486361,0.220481686,0.2350761024,1.4072758298
0.3242350049,0.2416367436,0.218434641,0.154904274,0.1742486361,0.220481686,1.4080545502
