c_norm,c_norm_lag1,c_norm_lag2,c_norm_lag3,c_norm_lag4,c_norm_lag5
0.3633595094,0.3453639389,0.2479857163,0.1277865125,0.2269607598,0.2570010008
0.5198749758,0.3633595094,0.3453639389,0.2479857163,0.1277865125,0.2269607598
0.4676594979,0.5198749758,0.3633595094,0.3453639389,0.2479857163,0.1277865125
0.1709659722,0.4676594979,0.5198749758,0.3633595094,0.3453639389,0.2479857163
0.2442647271,0.1709659722,0.4676594979,0.5198749758,0.3633595094,0.3453639389
0.3221806711,0.2442647271,0.1709659722,0.4676594979,0.5198749758,0.3633595094
0.2764016819,0.3221806711,0.2442647271,0.1709659722,0.4676594979,0.5198749758
0.5085731019,0.2764016819,0.3221806711,0.2442647271,0.1709659722,0.4676594979
0.5077547772,0.5085731019,0.2764016819,0.3221806711,0.2442647271,0.1709659722
0.4547038988,0.5077547772,0.5085731019,0.2764016819,0.3221806711,0.2442647271
0.3660177861,0.4547038988,0.5077547772,0.5085731019,0.2764016819,0.3221806711
0.2759135786,0.3660177861,0.4547038988,0.5077547772,0.5085731019,0.2764016819
0.2183000411,0.2759135786,0.3660177861,0.4547038988,0.5077547772,0.5085731019
0.3222506158,0.2183000411,0.2759135786,0.3660177861,0.4547038988,0.5077547772
0.4249090747,0.3222506158,0.2183000411,0.2759135786,0.3660177861,0.4547038988
0.3699920389,0.4249090747,0.3222506158,0.2183000411,0.2759135786,0.3660177861
0.1943209466,0.3699920389,0.4249090747,0.3222506158,0.2183000411,0.2759135786
0.2379167804,0.1943209466,0.3699920389,0.4249090747,0.3222506158,0.2183000411
0.2748725786,0.2379167804,0.1943209466,0.3699920389,0.4249090747,0.3222506158
0.3024004654,0.2748725786,0.2379167804,0.1943209466,0.3699920389,0.4249090747
0.2951142688,0.3024004654,0.2748725786,0.2379167804,0.1943209466,0.3699920389
0.2952687682,0.2951142688,0.3024004654,0.2748725786,0.2379167804,0.1943209466
0.2115886143,0.2952687682,0.2951142688,0.3024004654,0.2748725786,0.2379167804
0.401380242,0.2115886143,0.2952687682,0.2951142688,0.3024004654,0.2748725786
0.5065292978,0.401380242,0.2115886143,0.2952687682,0.2951142688,0.3024004654
0.3102897649,0.5065292978,0.401380242,0.2115886143,0.2952687682,0.2951142688
0.3593707111,0.3102897649,0.5065292978,0.401380242,0.2115886143,0.2952687682
0.4019402029,0.3593707111,0.3102897649,0.5065292978,0.401380242,0.2115886143
0.5115703752,0.4019402029,0.3593707111,0.3102897649,0.5065292978,0.401380242
0.1950653966,0.5115703752,0.4019402029,0.3593707111,0.3102897649,0.5065292978
0.1758254702,0.1950653966,0.5115703752,0.4019402029,0.3593707111,0.3102897649
0.2284889338,0.1758254702,0.1950653966,0.5115703752,0.4019402029,0.3593707111
0.2673263802,0.2284889338,0.1758254702,0.1950653966,0.5115703752,0.4019402029
0.2563174467,0.2673263802,0.2284889338,0.1758254702,0.1950653966,0.5115703752
0.2906368631,0.2563174467,0.2673263802,0.2284889338,0.1758254702,0.1950653966
0.3515000553,0.2906368631,0.2563174467,0.2673263802,0.2284889338,0.1758254702
0.2483212505,0.3515000553,0.2906368631,0.2563174467,0.2673263802,0.2284889338
0.3038749846,0.2483212505,0.3515000553,0.2906368631,0.2563174467,0.2673263802
0.3390173436,0.3038749846,0.2483212505,0.3515000553,0.2906368631,0.2563174467
0.2659258126,0.3390173436,0.3038749846,0.2483212505,0.3515000553,0.2906368631
0.2350761024,0.2659258126,0.3390173436,0.3038749846,0.2483212505,0.3515000553
0.220481686,0.2350761024,0.2659258126,0.3390173436,0.3038749846,0.2483212505
0.1742486361,0.220481686,0.2350761024,0.2659258126,0.3390173436,0.3038749846
0.154904274,0.1742486361,0.220481686,0.2350761024,0.2659258126,0.3390173436
0.218434641,0.154904274,0.1742486361,0.220481686,0.2350761024,0.2659258126
0.2416367436,0.218434641,0.154904274,0.1742486361,0.220481686,0.2350761024
0.3242350049,0.2416367436,0.218434641,0.154904274,0.1742486361,0.220481686
0.2600846748,0.3242350049,0.2416367436,0.218434641,0.154904274,0.1742486361
0.3071529858,0.2600846748,0.3242350049,0.2416367436,0.218434641,0.154904274
0.3409074419,0.3071529858,0.2600846748,0.3242350049,0.2416367436,0.218434641
0.3762113239,0.3409074419,0.3071529858,0.2600846748,0.3242350049,0.2416367436
0.4108563498,0.3762113239,0.3409074419,0.3071529858,0.2600846748,0.3242350049
0.2770685432,0.4108563498,0.3762113239,0.3409074419,0.3071529858,0.2600846748
0.3218469563,0.2770685432,0.4108563498,0.3762113239,0.3409074419,0.3071529858
0.373596286,0.3218469563,0.2770685432,0.4108563498,0.3762113239,0.3409074419
0.4851654684,0.373596286,0.3218469563,0.2770685432,0.4108563498,0.3762113239
0.4583443621,0.4851654684,0.373596286,0.3218469563,0.2770685432,0.4108563498
0.3427819657,0.4583443621,0.4851654684,0.373596286,0.3218469563,0.2770685432
0.2586915241,0.3427819657,0.4583443621,0.4851654684,0.373596286,0.3218469563
0.2694009259,0.2586915241,0.3427819657,0.4583443621,0.4851654684,0.373596286
0.2805233182,0.2694009259,0.2586915241,0.3427819657,0.4583443621,0.4851654684
0.4704262082,0.2805233182,0.2694009259,0.2586915241,0.3427819657,0.4583443621
0.2806250386,0.4704262082,0.2805233182,0.2694009259,0.2586915241,0.3427819657
0.3363072575,0.2806250386,0.4704262082,0.2805233182,0.2694009259,0.2586915241
0.3922247012,0.3363072575,0.2806250386,0.4704262082,0.2805233182,0.2694009259
0.5128857957,0.3922247012,0.3363072575,0.2806250386,0.4704262082,0.2805233182
0.5101143521,0.5128857957,0.3922247012,0.3363072575,0.2806250386,0.4704262082
0.6081713921,0.5101143521,0.5128857957,0.3922247012,0.3363072575,0.2806250386
0.5624296086,0.6081713921,0.5101143521,0.5128857957,0.3922247012,0.3363072575
0.3882921,0.5624296086,0.6081713921,0.5101143521,0.5128857957,0.3922247012
0.5047319873,0.3882921,0.5624296086,0.6081713921,0.5101143521,0.5128857957
0.4905898062,0.5047319873,0.3882921,0.5624296086,0.6081713921,0.5101143521
0.4128658895,0.4905898062,0.5047319873,0.3882921,0.5624296086,0.6081713921
0.3615165378,0.4128658895,0.4905898062,0.5047319873,0.3882921,0.5624296086
0.273121935,0.3615165378,0.4128658895,0.4905898062,0.5047319873,0.3882921
0.2928657804,0.273121935,0.3615165378,0.4128658895,0.4905898062,0.5047319873
0.3158456039,0.2928657804,0.273121935,0.3615165378,0.4128658895,0.4905898062
0.280321579,0.3158456039,0.2928657804,0.273121935,0.3615165378,0.4128658895
0.2863875237,0.280321579,0.3158456039,0.2928657804,0.273121935,0.3615165378
0.3012417682,0.2863875237,0.280321579,0.3158456039,0.2928657804,0.273121935
0.2331753837,0.3012417682,0.2863875237,0.280321579,0.3158456039,0.2928657804
0.343974491,0.2331753837,0.3012417682,0.2863875237,0.280321579,0.3158456039
0.3472021014,0.343974491,0.2331753837,0.3012417682,0.2863875237,0.280321579
0.3902328056,0.3472021014,0.343974491,0.2331753837,0.3012417682,0.2863875237
0.3689923466,0.3902328056,0.3472021014,0.343974491,0.2331753837,0.3012417682
0.2824793862,0.3689923466,0.3902328056,0.3472021014,0.343974491,0.2331753837
0.2453363745,0.2824793862,0.3689923466,0.3902328056,0.3472021014,0.343974491
0.3914969673,0.2453363745,0.2824793862,0.3689923466,0.3902328056,0.3472021014
0.2997645516,0.3914969673,0.2453363745,0.2824793862,0.3689923466,0.3902328056
0.3960586991,0.2997645516,0.3914969673,0.2453363745,0.2824793862,0.3689923466
0.2630387442,0.3960586991,0.2997645516,0.3914969673,0.2453363745,0.2824793862
0.3936353953,0.2630387442,0.3960586991,0.2997645516,0.3914969673,0.2453363745
0.5354260742,0.3936353953,0.2630387442,0.3960586991,0.2997645516,0.3914969673
0.4552392039,0.5354260742,0.3936353953,0.2630387442,0.3960586991,0.2997645516
0.3309462434,0.4552392039,0.5354260742,0.3936353953,0.2630387442,0.3960586991
0.2841351834,0.3309462434,0.4552392039,0.5354260742,0.3936353953,0.2630387442
0.3670015139,0.2841351834,0.3309462434,0.4552392039,0.5354260742,0.3936353953
