S_Log_All_Crisis_Yes,S_Log_Exchange,Date,greece
6.288756,0.303097,20070507,15.5900640112
6.280705,0.3033549,20070508,16.2987032844
6.276656,0.3035401,20070509,15.5900640112
6.27622,0.3036699,20070510,15.0585845563
6.276002,0.3037535,20070511,14.349945283
6.276747,0.3037987,20070512,14.1727854647
6.276237,0.303831,20070513,15.4129041929
6.27812,0.3038958,20070514,16.6530229211
6.283038,0.3039267,20070515,17.7159818309
6.287143,0.3039091,20070516,16.8301827394
6.291124,0.3038649,20070517,16.2987032844
6.297717,0.3037997,20070518,16.6530229211
6.299535,0.303718,20070519,13.4641461915
6.296648,0.3035838,20070520,15.0585845563
6.298497,0.3034137,20070521,16.4758631028
6.303906,0.3032294,20070522,16.2987032844
6.31277,0.3029961,20070523,15.5900640112
6.324847,0.3027427,20070524,15.9443836478
6.335515,0.3024754,20070525,13.9956256464
6.341555,0.3021995,20070526,12.9326667366
6.344366,0.3019195,20070527,12.2240274633
6.349584,0.301662,20070528,14.1727854647
6.359659,0.3013776,20070529,15.9443836478
6.373538,0.3010997,20070530,15.9443836478
6.390743,0.30082,20070531,15.4129041929
6.411738,0.3005418,20070601,13.8184658281
6.430544,0.3002675,20070602,13.1098265549
6.440713,0.3000349,20070603,15.4129041929
6.450378,0.2998663,20070604,15.2357443746
6.463287,0.2997263,20070605,14.7042649197
6.480803,0.299584,20070606,15.9443836478
6.500806,0.2993689,20070607,14.7042649197
6.525251,0.2990971,20070608,13.8184658281
6.550413,0.298782,20070609,12.9326667366
6.569159,0.298435,20070610,15.9443836478
6.586068,0.2980402,20070611,15.0585845563
6.600862,0.297588,20070612,15.4129041929
6.61317,0.2971058,20070613,14.5271051014
6.623828,0.2966448,20070614,13.6413060098
6.629767,0.2962055,20070615,13.1098265549
6.629261,0.2957881,20070616,11.3382283718
6.622719,0.2954196,20070617,14.349945283
6.619383,0.2951055,20070618,15.0585845563
6.61902,0.2948462,20070619,13.4641461915
6.619394,0.2946136,20070620,14.1727854647
6.617897,0.2944341,20070621,14.349945283
6.615088,0.2942993,20070622,13.1098265549
6.609162,0.2942022,20070623,13.6413060098
6.603162,0.2941454,20070624,14.1727854647
6.601438,0.2941353,20070625,14.7042649197
6.602738,0.2941371,20070626,14.5271051014
6.600935,0.294173,20070627,15.0585845563
6.602402,0.2942761,20070628,14.7163439982
6.605479,0.2944328,20070629,14.7163439982
6.602851,0.2946312,20070630,15.0585845563
6.592564,0.2949403,20070701,15.4008251144
6.58857,0.2953272,20070702,15.7430656725
6.587811,0.2957731,20070703,15.0585845563
6.588981,0.2962455,20070704,14.7163439982
6.589111,0.2967597,20070705,14.7163439982
6.588502,0.2973025,20070706,14.031862882
6.580873,0.2978631,20070707,12.6629006496
6.568699,0.2984303,20070708,14.031862882
6.559922,0.2990638,20070709,15.0585845563
6.556807,0.2997759,20070710,15.0585845563
6.555821,0.3005583,20070711,14.3741034401
6.555004,0.3013987,20070712,15.0585845563
6.554288,0.3022775,20070713,13.6896223239
6.545467,0.3031787,20070714,14.7163439982
6.531672,0.3040869,20070715,17.1120279049
6.518299,0.3049894,20070716,15.0585845563
6.506725,0.3058971,20070717,15.4008251144
6.49271,0.3068023,20070718,15.0585845563
6.484575,0.3077107,20070719,14.031862882
6.480342,0.3086127,20070720,13.3473817658
6.472418,0.3095004,20070721,13.3473817658
6.460729,0.3103576,20070722,15.0585845563
6.444115,0.3111866,20070723,14.031862882
6.430482,0.3119024,20070724,15.0585845563
6.423897,0.3125331,20070725,15.4008251144
6.419991,0.3130279,20070726,16.0853062306
6.415299,0.3134079,20070727,14.7163439982
6.401856,0.3136909,20070728,13.6896223239
6.383043,0.3139175,20070729,14.7163439982
6.365352,0.3141179,20070730,15.4008251144
6.350228,0.3142741,20070731,13.3473817658
6.336879,0.3144008,20070801,14.031862882
6.323217,0.3145694,20070802,13.3473817658
6.312235,0.3147703,20070803,12.6629006496
6.297287,0.3149952,20070804,12.3206600915
6.279638,0.3152404,20070805,13.6896223239
6.264691,0.3154688,20070806,13.3473817658
6.244575,0.3157259,20070807,13.0051412077
6.226613,0.3159256,20070808,13.0051412077
6.201329,0.3160661,20070809,11.9784195334
6.181317,0.316157,20070810,11.9784195334
6.162043,0.316207,20070811,10.9516978591
6.139492,0.3161779,20070812,11.9784195334
6.120374,0.3160535,20070813,13.3473817658
6.100069,0.3157776,20070814,11.9784195334
6.085972,0.3153245,20070815,11.9784195334
6.079031,0.3147994,20070816,12.3206600915
6.076588,0.3142212,20070817,11.9784195334
6.074364,0.3136058,20070818,11.9784195334
6.063352,0.3129486,20070819,13.0051412077
6.051545,0.3122751,20070820,13.3473817658
6.042009,0.3116339,20070821,12.6629006496
6.038417,0.3110435,20070822,12.6629006496
6.037507,0.3105627,20070823,12.6629006496
6.042312,0.3101755,20070824,13.0051412077
6.048659,0.3098681,20070825,21.218914602
6.056717,0.3096282,20070826,34.2240558097
6.063174,0.3094316,20070827,31.8283719031
6.059306,0.3093078,20070828,28.7482068802
6.049606,0.3092246,20070829,21.5611551601
6.0372,0.3091699,20070830,16.7697873468
6.021994,0.3091389,20070831,13.6896223239
6.004591,0.3091272,20070901,12.6629006496
5.984431,0.3091315,20070902,15.0585845563
5.957384,0.3091229,20070903,14.7163439982
5.949604,0.3091502,20070904,15.0585845563
5.950862,0.3092267,20070905,14.7163439982
5.958289,0.3093969,20070906,14.3741034401
5.964151,0.3096414,20070907,13.3473817658
5.977673,0.3099435,20070908,12.6629006496
5.996592,0.3103052,20070909,12.6629006496
6.022469,0.3107428,20070910,14.031862882
6.049873,0.3112857,20070911,14.031862882
6.075306,0.3118949,20070912,14.7163439982
6.091026,0.3125249,20070913,13.3473817658
6.112471,0.3131655,20070914,13.6896223239
6.126586,0.3138083,20070915,12.6629006496
6.131559,0.3144552,20070916,15.4008251144
6.14412,0.3151052,20070917,15.7430656725
6.16003,0.3158097,20070918,14.3741034401
6.180121,0.3166524,20070919,13.3473817658
6.204235,0.3175873,20070920,12.3206600915
6.228331,0.3185877,20070921,12.6629006496
6.245579,0.3196309,20070922,11.2939384172
6.259614,0.3207055,20070923,12.6629006496
6.274233,0.3218247,20070924,13.0051412077
6.292075,0.3229673,20070925,13.3041099711
6.312358,0.3241259,20070926,11.9587505358
