SQLDATE,S_Log_All_Crisis_Yes,S_Log_Exchange
20100613,6.458914,0.2095597
20100614,6.43737,0.2084236
20100615,6.423414,0.2075079
20100616,6.412156,0.206814
20100617,6.402424,0.2063026
20100618,6.387819,0.2059441
20100619,6.379043,0.2057131
20100620,6.371298,0.2056079
20100621,6.363517,0.2055391
20100622,6.357763,0.2055063
20100623,6.35428,0.2054851
20100624,6.349505,0.2055092
20100625,6.348672,0.2055697
20100626,6.333263,0.2056591
20100627,6.303698,0.2057581
20100628,6.268754,0.2057586
20100629,6.254714,0.2057642
20100630,6.247961,0.2059137
20100701,6.253375,0.2062685
20100702,6.262121,0.206786
20100703,6.262458,0.2074302
20100704,6.264306,0.2081706
20100705,6.280021,0.2090361
20100706,6.295602,0.2099532
20100707,6.318779,0.2109733
20100708,6.342141,0.2120318
20100709,6.369259,0.213111
20100710,6.400038,0.214196
20100711,6.419886,0.2152225
20100712,6.439436,0.2163069
20100713,6.453905,0.2174556
20100714,6.468952,0.2187525
20100715,6.47624,0.2201766
20100716,6.475063,0.2216894
20100717,6.462639,0.2232591
20100718,6.445694,0.2248931
20100719,6.438756,0.226518
20100720,6.434317,0.2280517
20100721,6.437687,0.2295621
20100722,6.439176,0.2310162
20100723,6.437623,0.2324102
20100724,6.428301,0.2337414
20100725,6.414367,0.2350928
20100726,6.398674,0.2364471
20100727,6.381689,0.2378017
20100728,6.372216,0.2391937
20100729,6.377038,0.2406058
20100730,6.39133,0.2420202
20100731,6.407548,0.2434222
20100801,6.422219,0.2448802
20100802,6.439302,0.2464182
20100803,6.461751,0.2479442
20100804,6.490094,0.2494446
20100805,6.521302,0.2510036
20100806,6.556002,0.2525947
20100807,6.587434,0.2541957
20100808,6.615372,0.255758
20100809,6.64337,0.2571623
20100810,6.672633,0.2582738
20100811,6.700478,0.2591114
20100812,6.72939,0.2596415
20100813,6.755876,0.2599173
20100814,6.758599,0.2599843
20100815,6.76122,0.2599369
20100816,6.772309,0.2598379
20100817,6.788086,0.259684
20100818,6.807595,0.2594599
20100819,6.830733,0.2590638
20100820,6.852135,0.2585322
20100821,6.874068,0.2578962
20100822,6.894954,0.2571631
20100823,6.92162,0.2563681
20100824,6.950916,0.2555128
20100825,6.982914,0.2546684
20100826,7.016318,0.253879
20100827,7.046858,0.253142
20100828,7.070529,0.2524548
20100829,7.088055,0.2517528
20100830,7.1043,0.2510599
20100831,7.119798,0.2504669
20100901,7.134793,0.2499692
20100902,7.149766,0.2496011
20100903,7.164262,0.2493418
20100904,7.17417,0.2491731
20100905,7.181154,0.2490795
20100906,7.191902,0.2489212
20100907,7.203765,0.2487151
20100908,7.217431,0.2484575
20100909,7.231452,0.2481788
20100910,7.245355,0.2478859
20100911,7.254445,0.2475843
20100912,7.258646,0.2474028
20100913,7.263547,0.2474162
20100914,7.268913,0.2475826
20100915,7.277663,0.2479259
20100916,7.289415,0.2483836
20100917,7.301714,0.2489295
20100918,7.309029,0.2495413
20100919,7.313293,0.2502219
20100920,7.317226,0.2509987
20100921,7.323589,0.2520334
20100922,7.330589,0.2532359
20100923,7.337506,0.2546609
20100924,7.34455,0.2562518
20100925,7.346202,0.2579612
20100926,7.344945,0.2597486
20100927,7.346508,0.2616613
20100928,7.350357,0.2636968
20100929,7.357911,0.2657841
20100930,7.366842,0.2680044
01oct2010,7.376045,0.2703103
02oct2010,7.381795,0.2726623
03oct2010,7.386224,0.2749803
04oct2010,7.390461,0.2773534
05oct2010,7.394599,0.2798124
06oct2010,7.399822,0.2823142
07oct2010,7.405871,0.2848271
08oct2010,7.413643,0.2873239
09oct2010,7.416347,0.2897826
10oct2010,7.41351,0.2921858
11oct2010,7.412615,0.2944648
12oct2010,7.411734,0.296705
13oct2010,7.408331,0.2989643
14oct2010,7.407585,0.301168
15oct2010,7.407955,0.3033046
16oct2010,7.404509,0.3053655
17oct2010,7.400397,0.3073302
18oct2010,7.393529,0.3090886
19oct2010,7.37863,0.3107503
20oct2010,7.344705,0.3123342
21oct2010,7.295928,0.3137897
22oct2010,7.258436,0.3151267
23oct2010,7.22602,0.3163543
24oct2010,7.19766,0.3175399
25oct2010,7.177136,0.3185983
26oct2010,7.158476,0.3194818
27oct2010,7.144494,0.3203166
28oct2010,7.134496,0.3210782
29oct2010,7.12964,0.3217731
30oct2010,7.114765,0.322407
31oct2010,7.101708,0.3229807
20101101,7.09536,0.323599
20101102,7.098499,0.3242384
20101103,7.109941,0.3250375
20101104,7.126128,0.3258226
20101105,7.144532,0.3265886
20101106,7.162518,0.3273314
20101107,7.181324,0.3279722
20101108,7.202455,0.3284794
20101109,7.223783,0.3287739
20101110,7.244061,0.3288933
20101111,7.263149,0.3288491
20101112,7.278486,0.328673
20101113,7.285119,0.3283917
20101114,7.287984,0.3279658
20101115,7.292353,0.3273548
20101116,7.297108,0.3266281
20101117,7.305099,0.3258612
20101118,7.313831,0.3250959
20101119,7.304969,0.3243395
20101120,7.29903,0.3235979
20101121,7.292939,0.3228449
20101122,7.29235,0.3219242
20101123,7.293011,0.3208486
20101124,7.296086,0.3196581
20101125,7.301392,0.3183061
20101126,7.309987,0.3168368
20101127,7.313668,0.3152871
20101128,7.315919,0.3135731
20101129,7.321307,0.3117004
20101130,7.327666,0.3098041
01dec2010,7.336837,0.3079675
02dec2010,7.348633,0.3063022
03dec2010,7.363441,0.3047924
04dec2010,7.378841,0.3034236
05dec2010,7.391031,0.3021135
06dec2010,7.404239,0.3009003
07dec2010,7.416147,0.2997167
08dec2010,7.42694,0.2985417
09dec2010,7.434964,0.2974126
10dec2010,7.441614,0.296332
11dec2010,7.445315,0.2953015
12dec2010,7.443726,0.2944322
13dec2010,7.442485,0.2937067
14dec2010,7.441909,0.2930384
15dec2010,7.444633,0.2923475
16dec2010,7.447021,0.2916065
17dec2010,7.448673,0.2908324
18dec2010,7.443414,0.2900393
19dec2010,7.433189,0.289215
20dec2010,7.423925,0.2883791
21dec2010,7.41663,0.2875101
22dec2010,7.408817,0.2866322
23dec2010,7.403543,0.2857557
24dec2010,7.398938,0.2848893
25dec2010,7.384372,0.2840396
26dec2010,7.363391,0.2832463
27dec2010,7.343419,0.2824883
28dec2010,7.325181,0.2818129
29dec2010,7.307366,0.2812761
30dec2010,7.291671,0.2808571
31dec2010,7.277865,0.2805375
20110101,7.260024,0.2803017
20110102,7.240377,0.2802127
20110103,7.223216,0.2801948
20110104,7.209532,0.2801327
20110105,7.202098,0.2799255
20110106,7.196973,0.2795388
20110107,7.1952,0.2790107
20110108,7.192671,0.2783733
20110109,7.18725,0.2776545
20110110,7.188336,0.2769025
20110111,7.194687,0.2761986
20110112,7.204833,0.2757662
20110113,7.215813,0.2755312
20110114,7.22956,0.2754583
20110115,7.235992,0.2755175
20110116,7.240921,0.2756831
20110117,7.247647,0.2759863
20110118,7.257318,0.2764694
20110119,7.260275,0.2770548
20110120,7.235393,0.2778193
20110121,7.196212,0.2787212
20110122,7.166095,0.2797253
20110123,7.138615,0.2808552
20110124,7.119365,0.282069
20110125,7.107755,0.2833709
20110126,7.102961,0.284731
20110127,7.102904,0.2860654
20110128,7.105908,0.2873656
20110129,7.106723,0.288625
20110130,7.102857,0.289918
20110131,7.101225,0.2912819
20110201,7.103281,0.2926795
20110202,7.107974,0.2939992
20110203,7.118734,0.2951912
20110204,7.132513,0.2962679
20110205,7.142094,0.2972404
20110206,7.149719,0.298099
20110207,7.160245,0.298952
20110208,7.171746,0.2997928
20110209,7.185687,0.3005779
20110210,7.19838,0.3012239
20110211,7.212148,0.3017508
20110212,7.221025,0.3021759
20110213,7.229336,0.3024803
20110214,7.240204,0.3026986
20110215,7.254721,0.3028843
20110216,7.269856,0.3030895
20110217,7.281987,0.3033532
20110218,7.271464,0.3036616
20110219,7.2629,0.3040032
20110220,7.254515,0.3043683
20110221,7.25137,0.3047399
20110222,7.252787,0.3051838
20110223,7.260972,0.3057081
20110224,7.274549,0.3062653
20110225,7.29055,0.3068436
20110226,7.304333,0.3074332
20110227,7.314554,0.3080522
20110228,7.325781,0.3087033
01mar2011,7.335919,0.3094144
02mar2011,7.347513,0.3102231
03mar2011,7.358675,0.3111284
04mar2011,7.368011,0.312103
05mar2011,7.371346,0.313124
06mar2011,7.370207,0.3141673
07mar2011,7.369943,0.3151724
08mar2011,7.371292,0.3161321
09mar2011,7.378267,0.3169857
10mar2011,7.390661,0.3177743
11mar2011,7.403887,0.3185025
12mar2011,7.411036,0.3191743
13mar2011,7.409512,0.3198737
14mar2011,7.410106,0.3205833
15mar2011,7.410132,0.321261
16mar2011,7.411637,0.3219771
17mar2011,7.412586,0.3228023
18mar2011,7.413981,0.3237076
19mar2011,7.413606,0.3246688
20mar2011,7.410617,0.3256959
21mar2011,7.409628,0.326786
22mar2011,7.413015,0.327854
23mar2011,7.418996,0.3289471
24mar2011,7.428003,0.3300101
25mar2011,7.438222,0.331038
26mar2011,7.442935,0.3320274
27mar2011,7.446101,0.3329472
28mar2011,7.451166,0.3337916
29mar2011,7.457014,0.33457
30mar2011,7.459243,0.3353494
31mar2011,7.463025,0.3361443
20110401,7.466436,0.3369439
20110402,7.465402,0.3377392
20110403,7.464549,0.3385274
20110404,7.470643,0.3393082
20110405,7.480065,0.3401474
20110406,7.490291,0.3409933
20110407,7.501758,0.3419407
20110408,7.513747,0.3429607
20110409,7.520038,0.3440294
20110410,7.520091,0.3451386
20110411,7.51997,0.3462703
20110412,7.520352,0.347424
20110413,7.522488,0.348575
20110414,7.527349,0.3496978
20110415,7.533392,0.3507866
20110416,7.534287,0.3518369
20110417,7.531681,0.3526835
20110418,7.530831,0.3534325
20110419,7.53272,0.3542295
20110420,7.535281,0.3551068
20110421,7.536846,0.356013
20110422,7.535344,0.3569335
20110423,7.530034,0.3578564
20110424,7.522127,0.3587933
20110425,7.512124,0.3597657
20110426,7.50632,0.3607804
20110427,7.50264,0.3619048
20110428,7.501163,0.3631311
20110429,7.499291,0.3644277
20110430,7.494179,0.3657682
01may2011,7.488992,0.367164
02may2011,7.484465,0.3685939
03may2011,7.480915,0.3700264
04may2011,7.477181,0.3712592
05may2011,7.478166,0.3722573
06may2011,7.480181,0.3730554
07may2011,7.479113,0.3736835
08may2011,7.476441,0.3740329
09may2011,7.474082,0.3741928
10may2011,7.472093,0.3741354
11may2011,7.472554,0.3738745
12may2011,7.468331,0.3733894
13may2011,7.45602,0.3727275
14may2011,7.433079,0.371929
15may2011,7.402151,0.3710829
16may2011,7.368474,0.3701616
17may2011,7.339379,0.3692694
18may2011,7.318815,0.3683986
19may2011,7.306045,0.367496
20may2011,7.298163,0.3665769
21may2011,7.291325,0.3656534
22may2011,7.278312,0.3646243
23may2011,7.264215,0.3635853
24may2011,7.256376,0.3625452
25may2011,7.24921,0.3615047
26may2011,7.245373,0.3606144
27may2011,7.246318,0.3598548
28may2011,7.246962,0.3592087
29may2011,7.247093,0.3586608
30may2011,7.25384,0.3582602
31may2011,7.262946,0.3580211
20110601,7.270546,0.3579116
20110602,7.278545,0.3580309
20110603,7.291834,0.3583344
20110604,7.300225,0.3587839
20110605,7.307343,0.3593583
20110606,7.318195,0.3600655
20110607,7.328636,0.3608132
20110608,7.338114,0.3615497
20110609,7.3525,0.3621529
20110610,7.3686,0.3626421
20110611,7.378414,0.363034
20110612,7.382843,0.3633453
20110613,7.386938,0.3636609
20110614,7.391998,0.3638014
20110615,7.400112,0.3637519
20110616,7.398489,0.3636693
20110617,7.402442,0.3635606
20110618,7.407792,0.3634318
20110619,7.414977,0.3632839
20110620,7.424567,0.363177
20110621,7.43676,0.3631071
20110622,7.449689,0.3629021
20110623,7.462631,0.3626058
20110624,7.474566,0.3622386
20110625,7.479139,0.3618175
20110626,7.479753,0.3614225
20110627,7.482872,0.3611124
20110628,7.489636,0.360916
20110629,7.500522,0.3608793
20110630,7.51202,0.3609619
20110701,7.524505,0.3611403
20110702,7.534885,0.3613946
20110703,7.542549,0.3617077
20110704,7.550842,0.3620392
20110705,7.561435,0.3622844
20110706,7.57366,0.362471
20110707,7.58645,0.36254
20110708,7.596589,0.3625128
20110709,7.599465,0.3624081
20110710,7.597205,0.3620882
20110711,7.600186,0.3615829
20110712,7.605828,0.3610411
20110713,7.612277,0.3604856
20110714,7.617912,0.3599065
20110715,7.623413,0.3593138
20110716,7.62149,0.3587161
20110717,7.617527,0.3580395
20110718,7.614837,0.3573866
20110719,7.614479,0.356782
20110720,7.616458,0.3563514
20110721,7.619625,0.3560619
20110722,7.622859,0.3558896
20110723,7.618769,0.3558139
20110724,7.608861,0.355811
20110725,7.598668,0.3559627
20110726,7.588296,0.3561536
20110727,7.578771,0.3563256
20110728,7.568786,0.3565397
20110729,7.558731,0.3567859
20110730,7.544865,0.3570555
20110731,7.525869,0.3572113
20110801,7.508807,0.3572944
20110802,7.495623,0.3573796
20110803,7.486734,0.3573517
20110804,7.47982,0.3572325
20110805,7.477488,0.3570406
20110806,7.469618,0.3567917
20110807,7.459331,0.3565576
20110808,7.449761,0.3563385
20110809,7.439494,0.3560993
20110810,7.427506,0.3558722
20110811,7.417411,0.3556635
20110812,7.408863,0.3554718
20110813,7.395874,0.3552959
20110814,7.37967,0.3552829
20110815,7.365528,0.3553805
20110816,7.352481,0.3555772
20110817,7.342443,0.3557714
20110818,7.337241,0.356023
20110819,7.336512,0.3563186
20110820,7.333729,0.3566468
20110821,7.327645,0.3569815
20110822,7.32233,0.3573507
20110823,7.31856,0.3577241
20110824,7.315559,0.3580818
20110825,7.316513,0.3584809
20110826,7.318457,0.3589094
20110827,7.312778,0.3593574
20110828,7.301833,0.3598493
20110829,7.292519,0.36032
20110830,7.284918,0.3607486
20110831,7.27808,0.3610531
20110901,7.272231,0.361198
20110902,7.269416,0.361212
20110903,7.26262,0.3611199
20110904,7.255645,0.3609428
20110905,7.252471,0.3605539
20110906,7.254621,0.3600395
20110907,7.260192,0.3593492
20110908,7.267441,0.3583198
20110909,7.275643,0.357026
20110910,7.279038,0.3555311
20110911,7.280489,0.3538654
20110912,7.286362,0.3521111
20110913,7.29612,0.3503244
20110914,7.311259,0.3486367
20110915,7.327636,0.3469917
20110916,7.345688,0.345398
20110917,7.360301,0.3438615
20110918,7.373355,0.3422797
20110919,7.388579,0.3407215
20110920,7.405537,0.3392178
20110921,7.423781,0.3375686
20110922,7.442057,0.3358714
20110923,7.460823,0.3341523
20110924,7.47528,0.3324327
20110925,7.486145,0.3307284
20110926,7.500129,0.3291199
20110927,7.515913,0.3276212
20110928,7.531942,0.3262345
20110929,7.547117,0.3248122
20110930,7.540069,0.3233751
01oct2011,7.511054,0.3219406
02oct2011,7.486124,0.3203967
03oct2011,7.470315,0.3187895
04oct2011,7.465207,0.3171725
05oct2011,7.458759,0.3156237
06oct2011,7.433416,0.3142229
07oct2011,7.415974,0.3129559
08oct2011,7.397422,0.3118101
09oct2011,7.375849,0.3107738
10oct2011,7.353644,0.3099433
11oct2011,7.336954,0.3093956
12oct2011,7.32327,0.309028
13oct2011,7.316766,0.3089049
14oct2011,7.315122,0.3089811
15oct2011,7.314202,0.309218
16oct2011,7.313292,0.3095167
17oct2011,7.314244,0.3098255
18oct2011,7.315143,0.31018
19oct2011,7.317803,0.3104931
20oct2011,7.323228,0.3109153
21oct2011,7.3324,0.3114218
22oct2011,7.337926,0.3119913
23oct2011,7.341422,0.3126488
24oct2011,7.345009,0.3133559
25oct2011,7.349716,0.3140433
26oct2011,7.354544,0.3149466
27oct2011,7.358896,0.3160099
28oct2011,7.361466,0.3171923
29oct2011,7.356692,0.3184593
30oct2011,7.346942,0.3196278
31oct2011,7.339649,0.3205085
20111101,7.337907,0.3212399
20111102,7.343022,0.3218001
20111103,7.356356,0.3222283
20111104,7.372692,0.3225454
20111105,7.387157,0.3227694
20111106,7.399677,0.3229033
20111107,7.415727,0.3229927
20111108,7.434643,0.3229071
20111109,7.455011,0.3226835
20111110,7.474828,0.3223504
20111111,7.492994,0.3219319
20111112,7.506624,0.3214485
20111113,7.51494,0.3209357
20111114,7.523846,0.3203297
20111115,7.532121,0.3196403
20111116,7.540004,0.3189029
20111117,7.548946,0.3181331
20111118,7.558295,0.3173448
20111119,7.561086,0.3165495
20111120,7.560921,0.3157593
20111121,7.558297,0.3149627
20111122,7.553872,0.3140549
20111123,7.550898,0.3130661
20111124,7.547591,0.3119441
20111125,7.543472,0.3107254
20111126,7.532614,0.3094406
20111127,7.516004,0.3081829
20111128,7.500434,0.3069663
20111129,7.488129,0.3058774
20111130,7.475879,0.3049281
01dec2011,7.464416,0.3040261
02dec2011,7.453518,0.3031714
03dec2011,7.438302,0.3023637
04dec2011,7.418986,0.3016593
05dec2011,7.401543,0.3009967
06dec2011,7.386274,0.3003663
07dec2011,7.374404,0.2997217
08dec2011,7.36062,0.2991053
09dec2011,7.344082,0.2985176
10dec2011,7.322569,0.2979593
11dec2011,7.296718,0.2972946
12dec2011,7.273893,0.296479
13dec2011,7.254221,0.2954557
14dec2011,7.232934,0.2943058
15dec2011,7.212329,0.2930743
16dec2011,7.194984,0.2917888
17dec2011,7.174395,0.2904725
18dec2011,7.150789,0.2891384
19dec2011,7.128913,0.2878482
20dec2011,7.10947,0.2865791
21dec2011,7.09356,0.2853435
22dec2011,7.077353,0.2841436
23dec2011,7.061033,0.2829846
24dec2011,7.041517,0.2818704
25dec2011,7.016541,0.2808035
26dec2011,6.987924,0.2798117
27dec2011,6.963523,0.2787767
28dec2011,6.946806,0.2777373
29dec2011,6.933315,0.2767209
30dec2011,6.920865,0.2757332
31dec2011,6.907011,0.2747787
20120101,6.88916,0.2738606
20120102,6.871657,0.2730488
20120103,6.857588,0.2722304
20120104,6.847656,0.2713006
20120105,6.842531,0.2702426
20120106,6.842912,0.2690915
20120107,6.840244,0.2678764
20120108,6.834343,0.2666391
20120109,6.83222,0.2654249
20120110,6.835276,0.2641663
20120111,6.845459,0.2629878
20120112,6.860529,0.2617794
20120113,6.878644,0.2605587
20120114,6.896542,0.2593404
20120115,6.915789,0.2581362
20120116,6.939834,0.257001
20120117,6.969407,0.2559995
20120118,7.000854,0.2552035
20120119,7.030571,0.2545902
20120120,7.057163,0.2541311
20120121,7.07585,0.2538014
20120122,7.076213,0.253647
20120123,7.068511,0.2536121
20120124,7.067597,0.2536544
20120125,7.083017,0.2538921
20120126,7.103654,0.2543159
20120127,7.127011,0.2548863
20120128,7.146782,0.2555697
20120129,7.164032,0.2562853
20120130,7.184008,0.2569665
20120131,7.20695,0.257709
20120201,7.229802,0.2584846
20120202,7.252147,0.2592328
20120203,7.256014,0.2599514
20120204,7.258871,0.2606389
20120205,7.261985,0.2613124
20120206,7.2706,0.2620544
20120207,7.28615,0.2628514
20120208,7.30457,0.2637179
20120209,7.327185,0.264549
20120210,7.353675,0.2653432
20120211,7.375304,0.2660996
20120212,7.394785,0.2668359
20120213,7.416505,0.2675015
20120214,7.439803,0.268056
20120215,7.465892,0.2685325
20120216,7.496272,0.2689707
20120217,7.527082,0.2693736
20120218,7.55065,0.2697438
20120219,7.57189,0.2700838
20120220,7.596047,0.2704763
20120221,7.621562,0.2709043
20120222,7.645709,0.2713998
20120223,7.666414,0.2720607
20120224,7.683805,0.2728491
20120225,7.694826,0.2737327
20120226,7.701147,0.2746453
20120227,7.707678,0.2756035
20120228,7.715344,0.2765197
20120229,7.724051,0.2773633
01mar2012,7.734054,0.2780509
02mar2012,7.743382,0.2786052
03mar2012,7.745839,0.2790459
04mar2012,7.74282,0.2794085
05mar2012,7.739045,0.279619
06mar2012,7.735235,0.2797309
07mar2012,7.730881,0.2798429
08mar2012,7.727452,0.2798416
09mar2012,7.728202,0.2797485
10mar2012,7.724838,0.279582
11mar2012,7.716605,0.2793828
12mar2012,7.710451,0.2791348
13mar2012,7.705566,0.2787854
14mar2012,7.700558,0.2783918
15mar2012,7.696522,0.2780435
16mar2012,7.692027,0.2777352
17mar2012,7.681828,0.2774625
18mar2012,7.668387,0.2772751
19mar2012,7.654866,0.2771434
20mar2012,7.642191,0.2770341
21mar2012,7.631437,0.276947
22mar2012,7.62275,0.2769309
23mar2012,7.616078,0.2769725
24mar2012,7.606962,0.2770604
25mar2012,7.596826,0.2772338
26mar2012,7.589267,0.2774808
27mar2012,7.582318,0.2777578
28mar2012,7.577869,0.27803
29mar2012,7.575205,0.2783475
30mar2012,7.564782,0.2786986
31mar2012,7.548026,0.2790733
20120401,7.523759,0.2794566
20120402,7.503825,0.2798521
20120403,7.487941,0.280094
20120404,7.475419,0.2801618
20120405,7.46769,0.280107
20120406,7.458087,0.2799533
20120407,7.445884,0.2797212
20120408,7.431163,0.2794264
20120409,7.419619,0.2790691
20120410,7.412924,0.2786923
20120411,7.409371,0.2783545
20120412,7.409006,0.2779839
20120413,7.413831,0.2775903
20120414,7.417316,0.2771822
20120415,7.42081,0.2767548
20120416,7.426502,0.2763589
20120417,7.436631,0.2759917
20120418,7.448384,0.275659
20120419,7.460625,0.2754183
20120420,7.46549,0.2752546
20120421,7.464905,0.2751549
20120422,7.462402,0.2750449
20120423,7.461879,0.274987
20120424,7.462841,0.2749741
20120425,7.465232,0.2750145
20120426,7.470211,0.2751096
20120427,7.476513,0.2752482
20120428,7.474921,0.2754206
20120429,7.467082,0.2756043
20120430,7.460838,0.2757931
01may2012,7.45684,0.2759294
02may2012,7.455936,0.2760167
03may2012,7.45555,0.2760206
04may2012,7.455492,0.2759569
05may2012,7.451664,0.2758392
06may2012,7.448151,0.275649
07may2012,7.450971,0.2753736
08may2012,7.458093,0.2749851
09may2012,7.467622,0.2745125
10may2012,7.468221,0.2739597
11may2012,7.473182,0.2733473
12may2012,7.47713,0.2726929
13may2012,7.481349,0.2719412
14may2012,7.489753,0.2710572
15may2012,7.501442,0.2700444
16may2012,7.516676,0.2689209
17may2012,7.534845,0.2677282
18may2012,7.55353,0.2664916
19may2012,7.571956,0.2652318
20may2012,7.587442,0.2640033
21may2012,7.603177,0.2627859
22may2012,7.617341,0.2614584
23may2012,7.63071,0.2600662
24may2012,7.64285,0.2585837
25may2012,7.653821,0.2570428
26may2012,7.657646,0.2554701
27may2012,7.655051,0.2538873
28may2012,7.653424,0.2522883
29may2012,7.657134,0.2506253
30may2012,7.663797,0.248894
31may2012,7.665601,0.24717
20120601,7.661611,0.2454691
20120602,7.653433,0.2438039
20120603,7.642128,0.2422444
20120604,7.632276,0.2407398
20120605,7.624667,0.239373
20120606,7.619269,0.2381579
20120607,7.599273,0.237009
20120608,7.586225,0.2359254
20120609,7.577052,0.2349055
20120610,7.570504,0.2339649
20120611,7.56996,0.2330764
20120612,7.571314,0.2323339
20120613,7.575891,0.2317266
20120614,7.581704,0.2312547
20120615,7.590168,0.2308972
20120616,7.596039,0.2306359
20120617,7.603675,0.2304115
20120618,7.61746,0.2303095
20120619,7.633763,0.2303164
20120620,7.652632,0.2303187
20120621,7.671735,0.2302848
20120622,7.690838,0.2302219
20120623,7.70022,0.2301361
20120624,7.704424,0.2299806
20120625,7.702285,0.2297631
20120626,7.704503,0.2294863
20120627,7.708858,0.2291449
20120628,7.711231,0.2289418
20120629,7.71099,0.2288529
20120630,7.702592,0.2288572
20120701,7.688766,0.2288706
20120702,7.677583,0.2289197
20120703,7.667828,0.2289972
20120704,7.65845,0.2289083
20120705,7.651094,0.2286035
20120706,7.644163,0.2281268
20120707,7.631461,0.2275158
20120708,7.615767,0.226815
20120709,7.602419,0.2260128
20120710,7.590926,0.2251273
20120711,7.582165,0.2241465
20120712,7.567907,0.2231253
20120713,7.556026,0.2220815
20120714,7.541413,0.22103
20120715,7.524996,0.2200112
20120716,7.511144,0.2190023
20120717,7.499273,0.2180333
20120718,7.482898,0.2171033
20120719,7.472063,0.2161478
20120720,7.466149,0.2151811
20120721,7.456854,0.2142151
20120722,7.444824,0.2132182
20120723,7.436887,0.2121533
20120724,7.434973,0.2111018
20120725,7.435865,0.2101929
20120726,7.438797,0.2094816
20120727,7.440742,0.2089376
20120728,7.437867,0.2085345
20120729,7.431926,0.208152
20120730,7.42694,0.207843
20120731,7.423243,0.2075836
20120801,7.420882,0.2072443
20120802,7.416331,0.20704
20120803,7.411349,0.2069472
20120804,7.40166,0.2069456
20120805,7.391356,0.2070437
20120806,7.38438,0.2072216
20120807,7.379707,0.2074155
20120808,7.37489,0.2075506
20120809,7.369639,0.2076531
20120810,7.359758,0.2077281
20120811,7.347093,0.20778
20120812,7.33197,0.2078461
20120813,7.320504,0.2079149
20120814,7.311814,0.2079518
20120815,7.293922,0.2080178
20120816,7.280571,0.2080734
20120817,7.27191,0.20812
20120818,7.261032,0.2081589
20120819,7.250782,0.2082138
20120820,7.244455,0.2083852
20120821,7.241531,0.2086492
20120822,7.245593,0.2090742
20120823,7.254818,0.2095854
20120824,7.268969,0.2101615
20120825,7.263114,0.2107843
20120826,7.254739,0.2114235
20120827,7.248566,0.2121096
20120828,7.246184,0.212806
20120829,7.234427,0.2134711
20120830,7.226186,0.2141687
20120831,7.222484,0.2148858
20120901,7.214194,0.2156113
20120902,7.204797,0.2163366
20120903,7.199241,0.2170448
20120904,7.185248,0.2177615
20120905,7.178194,0.2184961
20120906,7.17693,0.2193716
20120907,7.180256,0.2203526
20120908,7.183173,0.2214091
20120909,7.184301,0.2225155
20120910,7.188569,0.2237004
20120911,7.196228,0.2249648
20120912,7.205442,0.2262951
20120913,7.21405,0.227842
20120914,7.225637,0.2295489
20120915,7.236077,0.2313682
20120916,7.242329,0.2332475
20120917,7.250053,0.2351
20120918,7.258596,0.2369231
20120919,7.267118,0.2386142
20120920,7.276829,0.2402137
20120921,7.287328,0.2417232
20120922,7.291732,0.2431445
20120923,7.291871,0.2444178
20120924,7.292063,0.2455862
20120925,7.29514,0.2465859
20120926,7.302736,0.247456
20120927,7.313631,0.2481985
20120928,7.324941,0.2488302
20120929,7.331346,0.2493658
20120930,7.333187,0.2498525
01oct2012,7.33567,0.250334
02oct2012,7.339588,0.2507741
03oct2012,7.344637,0.2512472
04oct2012,7.351887,0.2517869
05oct2012,7.3629,0.2523751
06oct2012,7.369476,0.2529967
07oct2012,7.370891,0.2536392
08oct2012,7.374104,0.254151
09oct2012,7.381852,0.2545612
10oct2012,7.390219,0.2549159
11oct2012,7.399388,0.2552361
12oct2012,7.408925,0.2555251
13oct2012,7.411136,0.255786
14oct2012,7.406454,0.2560245
15oct2012,7.40425,0.2563088
16oct2012,7.403383,0.2567014
17oct2012,7.404835,0.2571573
18oct2012,7.407116,0.2575955
19oct2012,7.411517,0.258015
20oct2012,7.407825,0.2584153
21oct2012,7.401171,0.2588273
22oct2012,7.395171,0.2591741
23oct2012,7.390328,0.2594453
24oct2012,7.387194,0.2596617
25oct2012,7.382092,0.2598163
26oct2012,7.378386,0.2599191
27oct2012,7.371031,0.2599791
28oct2012,7.359929,0.259979
29oct2012,7.352533,0.2599865
30oct2012,7.346757,0.2599841
31oct2012,7.343106,0.2599573
20121101,7.3403,0.2598421
20121102,7.337796,0.2596564
20121103,7.329161,0.2594154
20121104,7.320022,0.2590869
20121105,7.313589,0.2587125
20121106,7.309668,0.2582587
20121107,7.30808,0.2577301
20121108,7.307907,0.2571267
20121109,7.308833,0.2564686
20121110,7.304652,0.2557728
20121111,7.297355,0.2550535
20121112,7.297363,0.254323
20121113,7.300622,0.2536097
20121114,7.307936,0.2529512
20121115,7.317096,0.2522903
20121116,7.327438,0.251634
20121117,7.334126,0.250988
20121118,7.336502,0.2504282
20121119,7.341085,0.24995
20121120,7.346353,0.2495442
20121121,7.351547,0.2492012
20121122,7.354899,0.2490234
20121123,7.356515,0.2489812
20121124,7.352103,0.2490493
20121125,7.34493,0.2492114
20121126,7.34125,0.2494279
20121127,7.338758,0.2496733
20121128,7.339638,0.2499627
20121129,7.343384,0.2503289
20121130,7.348782,0.2507535
01dec2012,7.346928,0.2512213
