SQLDATE,S_Log_All_Crisis_Yes,S_Log_Exchange
20080725,6.581264,0.4549617
20080726,6.592456,0.4549697
20080727,6.59965,0.4549671
20080728,6.60236,0.4548545
20080729,6.599421,0.4546353
20080730,6.587745,0.4543512
20080731,6.578231,0.4540032
20080801,6.570889,0.453607
20080802,6.562278,0.4531757
20080803,6.547487,0.4527215
20080804,6.536483,0.4521883
20080805,6.527687,0.4515582
20080806,6.513515,0.4508117
20080807,6.488201,0.4497848
20080808,6.468093,0.4485411
20080809,6.437877,0.4471343
20080810,6.390767,0.44555
20080811,6.337063,0.4438024
20080812,6.296525,0.4419331
20080813,6.253857,0.4399579
20080814,6.213558,0.4378076
20080815,6.167759,0.4355371
20080816,6.111469,0.4331917
20080817,6.055194,0.4308331
20080818,6.012995,0.4284982
20080819,5.974368,0.4261752
20080820,5.955561,0.4240028
20080821,5.951187,0.4219236
20080822,5.95645,0.4199406
20080823,5.963746,0.4180554
20080824,5.972043,0.4162702
20080825,5.984235,0.4144869
20080826,5.999518,0.4127393
20080827,6.016312,0.4110388
20080828,6.035682,0.4093825
20080829,6.055296,0.4077786
20080830,6.074122,0.4062331
20080831,6.091656,0.4047505
20080901,6.110954,0.4032328
20080902,6.131241,0.4016793
20080903,6.143162,0.4000227
20080904,6.144219,0.3982385
20080905,6.13696,0.3963688
20080906,6.118837,0.3944484
20080907,6.109434,0.3924028
20080908,6.098055,0.3903093
20080909,6.09524,0.3880895
20080910,6.099669,0.3857317
20080911,6.111115,0.3834513
20080912,6.122837,0.3812565
20080913,6.130291,0.379153
20080914,6.134941,0.3771466
20080915,6.141006,0.3752248
20080916,6.149293,0.373433
20080917,6.158365,0.3718812
20080918,6.17058,0.3705407
20080919,6.181211,0.3693849
20080920,6.186445,0.3683901
20080921,6.183542,0.3677511
20080922,6.183292,0.3674336
20080923,6.183159,0.3673242
20080924,6.185256,0.3673761
20080925,6.187026,0.3675259
20080926,6.185082,0.3677537
20080927,6.175175,0.3680423
20080928,6.160493,0.3682288
20080929,6.152662,0.36812
20080930,6.151538,0.3677568
01oct2008,6.156266,0.3670449
02oct2008,6.163666,0.3660302
03oct2008,6.174918,0.3647805
04oct2008,6.182899,0.3633528
05oct2008,6.190723,0.3615698
06oct2008,6.202953,0.3596207
07oct2008,6.213965,0.3575792
08oct2008,6.227592,0.3554584
09oct2008,6.242062,0.3531656
10oct2008,6.260083,0.3507562
11oct2008,6.274365,0.3482766
12oct2008,6.284969,0.3457649
13oct2008,6.301873,0.3433902
14oct2008,6.319467,0.3410833
15oct2008,6.336133,0.3387426
16oct2008,6.353677,0.336432
17oct2008,6.36687,0.3341689
18oct2008,6.372029,0.3319671
19oct2008,6.367978,0.3297262
20oct2008,6.361655,0.3273156
21oct2008,6.354401,0.3245857
22oct2008,6.348368,0.3216581
23oct2008,6.345886,0.3184121
24oct2008,6.345279,0.3149408
25oct2008,6.339264,0.3113216
26oct2008,6.331161,0.307465
27oct2008,6.326359,0.3034787
28oct2008,6.325875,0.2997234
29oct2008,6.330392,0.296192
30oct2008,6.33867,0.2927456
31oct2008,6.347641,0.2894025
20081101,6.347416,0.2861766
20081102,6.343921,0.283107
20081103,6.34242,0.2804293
20081104,6.346207,0.2781096
20081105,6.351121,0.2758838
20081106,6.359802,0.2737727
20081107,6.369879,0.2717755
20081108,6.374182,0.2698907
20081109,6.379897,0.2681024
20081110,6.389552,0.2664101
20081111,6.402454,0.2646531
20081112,6.415713,0.2628355
20081113,6.428682,0.2611495
20081114,6.441403,0.2595868
20081115,6.447742,0.2581398
20081116,6.44829,0.2567969
20081117,6.45612,0.2555235
20081118,6.468658,0.2542439
20081119,6.483285,0.2529165
20081120,6.492038,0.2515682
20081121,6.484447,0.2502167
20081122,6.45083,0.248876
20081123,6.426845,0.24784
20081124,6.410519,0.2471691
20081125,6.400197,0.2466444
20081126,6.397246,0.2462434
20081127,6.400119,0.2458416
20081128,6.406177,0.2454432
20081129,6.40706,0.2450515
20081130,6.401605,0.2446218
01dec2008,6.397402,0.2442365
02dec2008,6.39355,0.2438478
03dec2008,6.394597,0.2435943
04dec2008,6.399632,0.2433069
05dec2008,6.405154,0.2429949
06dec2008,6.404977,0.2426661
07dec2008,6.406659,0.2425521
08dec2008,6.417651,0.2426093
09dec2008,6.436099,0.2428716
10dec2008,6.457998,0.2435026
11dec2008,6.483168,0.2444673
12dec2008,6.510089,0.2456925
13dec2008,6.53219,0.2471166
14dec2008,6.548278,0.2489208
15dec2008,6.562068,0.251121
16dec2008,6.575198,0.2540092
17dec2008,6.585124,0.2573839
18dec2008,6.597488,0.2608186
19dec2008,6.606866,0.2642676
20dec2008,6.610639,0.2676936
21dec2008,6.60903,0.2711221
22dec2008,6.605302,0.2745284
23dec2008,6.601596,0.2778812
24dec2008,6.590323,0.2811571
25dec2008,6.567812,0.2844079
26dec2008,6.538913,0.2876059
27dec2008,6.506848,0.2907292
28dec2008,6.479975,0.2938808
29dec2008,6.464449,0.29692
30dec2008,6.457332,0.2997193
31dec2008,6.455579,0.3022963
20090101,6.453836,0.3046867
20090102,6.455502,0.3069021
20090103,6.457111,0.3089537
20090104,6.463208,0.3105831
20090105,6.476498,0.3117573
20090106,6.492664,0.3127521
20090107,6.507998,0.3135887
20090108,6.521816,0.3141278
20090109,6.541359,0.3144205
20090110,6.558966,0.3145107
20090111,6.57617,0.3143258
20090112,6.597363,0.3138075
20090113,6.623778,0.3130063
20090114,6.648223,0.3119228
20090115,6.676629,0.3107356
20090116,6.706306,0.3094763
20090117,6.733128,0.308171
20090118,6.763581,0.3068416
20090119,6.794552,0.3052784
20090120,6.826457,0.3034826
20090121,6.856122,0.3015821
20090122,6.884396,0.2995337
20090123,6.910124,0.297386
20090124,6.929479,0.2951792
20090125,6.943974,0.2931578
20090126,6.959353,0.2913341
20090127,6.97592,0.2897531
20090128,6.992857,0.2881894
20090129,7.008577,0.2865127
20090130,7.0241,0.2847611
20090131,7.036197,0.2829664
20090201,7.046272,0.2811579
20090202,7.057135,0.2795128
20090203,7.069455,0.2778981
20090204,7.082263,0.2763095
20090205,7.09306,0.2747859
20090206,7.103374,0.2733302
20090207,7.110515,0.271944
20090208,7.114291,0.2707745
20090209,7.121184,0.2697169
20090210,7.130599,0.268704
20090211,7.139211,0.2676824
20090212,7.147393,0.2667081
20090213,7.154116,0.2657821
20090214,7.157247,0.2649042
20090215,7.156594,0.2640743
20090216,7.157048,0.2630494
20090217,7.157654,0.2618577
20090218,7.160239,0.2606443
20090219,7.16247,0.2594372
20090220,7.165452,0.2582475
20090221,7.164193,0.2570836
20090222,7.154241,0.2559971
20090223,7.14857,0.2549803
20090224,7.133825,0.2540214
20090225,7.123364,0.2531449
20090226,7.115586,0.2522638
20090227,7.111276,0.2513875
20090228,7.100075,0.2505241
01mar2009,7.088969,0.2496148
02mar2009,7.082394,0.2486526
03mar2009,7.066332,0.2477034
04mar2009,7.054039,0.2467408
05mar2009,7.043851,0.2458634
06mar2009,7.029162,0.2450637
07mar2009,7.005232,0.244335
08mar2009,6.974405,0.243641
09mar2009,6.951299,0.2430736
10mar2009,6.934347,0.2426314
11mar2009,6.915554,0.2423148
12mar2009,6.903409,0.2421746
13mar2009,6.897121,0.2421788
14mar2009,6.890223,0.2422998
15mar2009,6.882555,0.2425962
16mar2009,6.877843,0.2430124
17mar2009,6.877216,0.2436273
18mar2009,6.877549,0.244859
19mar2009,6.879733,0.246458
20mar2009,6.883828,0.2483384
21mar2009,6.884127,0.2504279
22mar2009,6.88066,0.2526682
23mar2009,6.880258,0.254975
24mar2009,6.880445,0.2573236
25mar2009,6.879925,0.2596981
26mar2009,6.880553,0.2618808
27mar2009,6.883644,0.2638862
28mar2009,6.886877,0.2657281
29mar2009,6.887708,0.2672981
30mar2009,6.891493,0.2687192
31mar2009,6.897833,0.2699768
20090401,6.904308,0.2712656
20090402,6.910458,0.2725586
20090403,6.916237,0.273842
20090404,6.921723,0.2751049
20090405,6.924839,0.2762758
20090406,6.932925,0.2772998
20090407,6.942356,0.2781989
20090408,6.951472,0.2788829
20090409,6.959747,0.2793811
20090410,6.967422,0.2797238
20090411,6.970545,0.2799373
20090412,6.969477,0.2802031
20090413,6.968308,0.2804509
20090414,6.961327,0.2806097
20090415,6.959369,0.2807063
20090416,6.961228,0.2806242
20090417,6.962885,0.2803982
20090418,6.963215,0.2800578
20090419,6.967845,0.2795303
20090420,6.97611,0.2789143
20090421,6.985299,0.2782592
20090422,6.997383,0.2776064
20090423,6.999364,0.2771361
20090424,7.002513,0.2768182
20090425,7.003477,0.2766271
20090426,7.004225,0.2764336
20090427,7.011147,0.2761831
20090428,7.021305,0.2760882
20090429,7.033271,0.27606
20090430,7.044893,0.2761035
01may2009,7.053384,0.2762047
02may2009,7.058564,0.2763515
