date,bailout,debt,crisis,referendum,euro dollar
2007-01-01,1,50,44,1,23
2007-01-02,0,70,49,3,29
2007-01-03,1,76,51,3,31
2007-01-04,0,81,50,3,30
2007-01-05,1,75,49,3,31
2007-01-06,0,69,49,3,31
2007-01-07,0,63,55,4,32
2007-01-08,1,86,51,5,29
2007-01-09,1,85,60,4,32
2007-01-10,0,83,57,5,29
2007-01-11,0,83,57,5,29
2007-01-12,0,77,52,6,26
2007-01-13,1,59,49,3,25
2007-01-14,1,58,50,5,30
2007-01-15,0,72,56,6,27
2007-01-16,1,82,56,5,25
2007-01-17,0,82,53,6,27
2007-01-18,0,83,85,4,24
2007-01-19,1,75,57,5,27
2007-01-20,1,70,55,4,21
2007-01-21,0,70,64,6,28
2007-01-22,0,88,59,7,27
2007-01-23,0,100,59,6,26
2007-01-24,1,89,64,5,28
2007-01-25,0,83,58,4,26
2007-01-26,1,73,53,6,22
2007-01-27,0,58,49,4,19
2007-01-28,1,54,57,4,31
2007-01-29,1,77,58,5,27
2007-01-30,0,74,59,7,28
2007-01-31,1,75,62,6,27
2007-02-01,0,76,57,5,26
2007-02-02,0,67,50,6,28
2007-02-03,0,51,47,4,26
2007-02-04,1,62,51,4,25
2007-02-05,1,77,59,7,30
2007-02-06,0,82,61,7,30
2007-02-07,0,74,57,5,29
2007-02-08,1,70,62,7,23
2007-02-09,0,70,53,7,23
2007-02-10,1,49,46,4,20
2007-02-11,1,58,60,13,26
2007-02-12,0,79,55,10,25
2007-02-13,1,82,59,6,24
2007-02-14,0,71,52,7,24
2007-02-15,1,75,60,6,26
2007-02-16,0,77,60,7,24
2007-02-17,0,55,49,4,24
2007-02-18,0,62,55,48,22
2007-02-19,1,73,57,16,27
2007-02-20,0,77,59,7,26
2007-02-21,0,87,64,8,29
2007-02-22,0,78,67,6,25
2007-02-23,0,71,55,6,25
2007-02-24,0,55,57,2,20
2007-02-25,0,55,55,5,23
2007-02-26,0,77,63,5,29
2007-02-27,0,81,67,5,32
2007-02-28,0,79,66,5,31
2007-03-01,1,69,65,6,29
2007-03-02,1,70,59,4,28
2007-03-03,1,58,52,4,24
2007-03-04,1,52,63,6,27
2007-03-05,1,80,65,6,30
2007-03-06,0,82,67,6,29
2007-03-07,0,80,64,7,28
2007-03-08,0,79,63,8,28
2007-03-09,1,72,52,5,24
2007-03-10,1,62,50,3,22
2007-03-11,1,60,56,5,22
2007-03-12,0,79,63,4,30
2007-03-13,0,84,70,6,26
2007-03-14,2,83,72,6,27
2007-03-15,0,76,74,5,26
2007-03-16,1,68,60,4,26
2007-03-17,0,50,50,4,23
2007-03-18,0,58,61,4,25
2007-03-19,1,86,62,6,31
2007-03-20,1,82,68,6,26
2007-03-21,1,77,64,7,29
2007-03-22,1,77,65,6,29
2007-03-23,0,66,59,5,25
2007-03-24,0,58,52,4,24
2007-03-25,1,57,61,6,25
2007-03-26,0,80,64,7,29
2007-03-27,0,83,73,8,30
2007-03-28,1,80,70,8,28
2007-03-29,1,76,68,6,26
2007-03-30,0,68,62,4,25
2007-03-31,1,55,51,3,22
2007-04-01,1,66,70,4,29
2007-04-02,0,91,80,6,30
2007-04-03,1,89,72,7,28
2007-04-04,1,86,75,10,34
2007-04-05,0,81,66,7,33
2007-04-06,1,79,57,3,30
2007-04-07,1,62,57,4,22
2007-04-08,0,58,67,6,26
2007-04-09,1,90,75,4,31
2007-04-10,0,84,99,8,34
2007-04-11,1,96,74,7,33
2007-04-12,1,90,79,7,31
2007-04-13,1,74,80,8,32
2007-04-14,1,68,64,4,31
2007-04-15,1,65,81,7,32
2007-04-16,0,89,76,8,32
2007-04-17,0,90,83,8,38
2007-04-18,1,94,75,14,35
2007-04-19,0,91,76,9,33
2007-04-20,1,73,70,6,34
2007-04-21,1,52,65,7,29
2007-04-22,1,55,86,9,27
2007-04-23,1,83,81,6,38
2007-04-24,0,89,85,13,30
2007-04-25,0,90,91,10,38
2007-04-26,0,87,89,11,35
2007-04-27,0,80,68,10,38
2007-04-28,1,58,57,7,34
2007-04-29,0,67,71,11,32
2007-04-30,0,88,80,9,33
2007-05-01,0,100,93,7,40
2007-05-02,0,85,87,10,37
2007-05-03,1,91,84,9,38
2007-05-04,0,85,75,10,31
2007-05-05,0,62,72,9,29
2007-05-06,1,61,82,6,31
2007-05-07,0,74,88,12,37
